𤭢	亠人人十瓦
滴	氵亠丷冂古
蒂	艹亠丷冖巾
狄	犭火
笛	竹由
嘀	口亠丷冂古
堤	土日一龰
邸	氐⻏
嫡	女亠丷冂古
棣	木隶
缔	纟亠丷冖巾
谛	讠亠丷冖巾
涤	氵夂木
荻	艹犭火
娣	女丷𢎨
诋	讠氐
氐	氏丶
砥	石氐
镝	钅亠丷冂古
睇	目丷𢎨
坻	土氐
柢	木氐
鞮	革日一龰
羝	羊氐
觌	十乛大⺀见
籴	入米
骶	冎⺼氐
碲	石亠丷冖巾
禘	礻亠丷冖巾
翟	习习亻{隹右}
踶	𧾷日一龰
菂	艹白勺
髢	E一厶彡也
玓	𤣩勺
杕	木大
蹢	𧾷亠丷冂古
媂	女亠丷冖巾
提	扌日一龰
䃅	石丷田十
䗖	虫{卅}冖巾
茋	艹氐
𤧛	𤣩亠丷冖巾
𬱖	由页
嗲	口父夕夕
点	占灬
电	由乚
店	广占
殿	尸共殳
典	{曲-一}一八
颠	十{具-八}八页
垫	扌丸土
甸	勹田
惦	忄广占
奠	丷酉大
掂	扌广占
癫	疒十{具-八}八页
巅	山十{具-八}八页
淀	氵宀一龰
滇	氵十{具-八}八
玷	𤣩占
踮	𧾷广占
佃	亻田
靛	龶⺝宀一龰
碘	石{曲-一}一八
钿	钅田
簟	竹覀日十
癜	疒尸共殳
坫	土占
阽	⻖占
扂	户占
琔	𤣩宀一龰
掉	扌⺊日十
调	讠⺆土口
屌	尸口巾
雕	⺆土口亻{隹右}
吊	口巾
钓	钅勺
刁	𠃌㇀
叼	口刁
貂	豸刀口
凋	冫⺆土口
碉	石⺆土口
鲷	鱼⺆土口
铫	钅兆
铞	钅口巾
窎	宀八鸟
汈	氵刁
爹	父夕夕
蝶	虫世木
跌	𧾷丿夫
叠	又又又冖且
碟	石世木
迭	辶丿夫
谍	讠世木
喋	口世木
牒	片世木
堞	土世木
耋	老𠫔土
鲽	鱼世木
昳	日丿夫
蹀	𧾷世木
瓞	瓜丿夫
垤	土𠫔土
绖	纟𠫔土
楪	木世木
𫶇	山{卅}冖巾
定	宀一龰
顶	丁页
丁	一亅
盯	目丁
订	讠丁
叮	口丁
鼎	爿片目
钉	钅丁
锭	钅宀一龰
町	田丁
仃	亻丁
酊	酉丁
腚	⺼宀一龰
玎	𤣩丁
碇	石宀一龰
疔	疒丁
啶	口宀一龰
耵	耳丁
萣	艹宀一龰
丢	丿去
铥	钅丿去
动	云力
东	一𠃋小
洞	氵冂一口
懂	忄艹重
冬	夂⺀
董	艹重
冻	冫东
栋	木东
咚	口冬
峒	山冂一口
胴	⺼冂一口
侗	亻冂一口
恫	忄冂一口
鸫	东鸟
垌	土冂一口
硐	石冂一口
氡	气冬
胨	⺼东
岽	山东
𬟽	虫东
都	耂日⻏
斗	十⺀
抖	扌斗
豆	一口䒑
逗	辶一口䒑
兜	丿𠄌コ白儿
陡	⻖土龰
窦	宀八十乛大⺀
痘	疒一口䒑
蚪	虫斗
蔸	艹丿𠄌コ白儿
篼	竹丿𠄌コ白儿
钭	钅斗
读	讠十乛大⺀
度	广廿又
独	犭虫
毒	龶母
杜	木土
肚	⺼土
赌	贝耂日
督	上小又目
渡	氵广廿又
嘟	口耂日⻏
堵	土耂日
妒	女户
睹	目耂日
笃	竹马
渎	氵十乛大⺀
镀	钅广廿又
犊	牜十乛大⺀
牍	片十乛大⺀
蠹	𰀉冖石虫虫
黩	{里}灬十乛大⺀
阇	门耂日
芏	艹土
椟	木十乛大⺀
髑	冎⺼⺫勹虫
厾	⺄去
𬭊	钅木土
断	𠃊米斤
段	{段-殳}殳
短	矢一口䒑
端	立山而
锻	钅{段-殳}殳
缎	纟{段-殳}殳
煅	火{段-殳}殳
椴	木{段-殳}殳
耑	山而
簖	竹𠃊米斤
塅	土{段-殳}殳
瑖	𤣩{段-殳}殳
对	又寸
队	⻖人
堆	土亻{隹右}
兑	丷兄
怼	又寸心
碓	石亻{隹右}
祋	礻殳
顿	屯页
盾	𠂆十目
蹲	𧾷丷酉寸
敦	亠口子攵
沌	氵屯
遁	辶𠂆十目
吨	口屯
钝	钅屯
墩	土亠口子攵
炖	火屯
盹	目屯
惇	忄亠口子
趸	万足
礅	石亠口子攵
蹾	𧾷亠口子攵
砘	石屯
镦	钅亠口子攵
囤	囗屯
多	夕夕
躲	身𠘧木
朵	𠘧木
夺	大寸
堕	⻖𠂇月土
哆	口夕夕
跺	𧾷𠘧木
踱	𧾷广廿又
舵	舟宀匕
咄	口出
剁	𠘧木刂
铎	钅又𰀁
惰	忄𠂇工月
垛	土𠘧木
掇	扌又又又又
哚	口𠘧木
裰	衤又又又又
埵	土千艹士
饳	饣出
